"id","id_str","full_text","username",""
"1.6645662353828E+18","1.6645662353828E+18","@BeBuzzerNKRI @dwioktariyadi @aniesbaswedan Selama bukan mengolok-ngolok, fine-fine aja menurut gw. Prabowo juga bikin pin Garuda Merah dulu. Selain itu, kaos-kaos yg dipake masyarakat sipil dengan logo burung garuda, banyak kreativitasnya. Acara pemerintahanpun sama.","leogusta_",""
"1.6645660958635E+18","1.6645660958635E+18","@jansen_jsp @aniesbaswedan @AgusYudhoyono Ditunggu kejutannya ya pak. Semoga berhasil mengagetkan kita semua. Jangan2 calon wakilnya anies adalah pak @jansen_jsp. \nðŸ˜‚","richworld",""
"1.6645661941444E+18","1.6645661941444E+18","@DaengWahidin2 @DokterTifa @aniesbaswedan Hihi aku ga bakal pilih kalau mau nyalon Gub .DKI ..belum nyampai ...eee belanda masih jauh.","BEEQUEN2w",""
"1.6645661446558E+18","1.6645661446558E+18","@spesies_galaxy @PartaiSocmed @aniesbaswedan @susipudjiastuti ðŸ˜ðŸ˜benr","ProoFaris29119",""
"1.6645661436324E+18","1.6645661436324E+18","@MANWAR2711 @rh_dewa @RaknongPem @msobri99 @AlineRaztha @aniesbaswedan Itu dah dikasih contoh msh tanya lg..ckckck","BiruScooter",""
"1.6645661126072E+18","1.6645661126072E+18","@Dennysiregar7 Issue awalnya kan @PDemokrat bergabung dg koalisi BERUBAH agar @AgusYudhoyono cawapres.\n\nJika sampai detik ini belum terjadi kesepakatan, maka sudah bisa dipastikan @aniesbaswedan dan Om Bewok masih meragukan kapasitas AHY.\n\nDah gitu sajalah...","taliwongsooo",""
"1.6645660216327E+18","1.6645660216327E+18","@MANWAR2711 @rh_dewa @RaknongPem @msobri99 @AlineRaztha @aniesbaswedan Bebas kl ngomong sm gw mah..","BiruScooter",""
"1.6645663323929E+18","1.6645663323929E+18","@kangdede78 @Mdy_Asmara1701 @GeiszChalifah @Lembayung071 @musniumar @ekowboy2 @abu_waras @HukumDan @bachrum_achmadi @Tan_Mar3M @BangEdiii @DrEvaChaniago @Stevaniehuangg @CutSarina5 @ArieMutyara @aniesbaswedan Pantes negara ini rusak isi nya orgÂ² tolol macam lu de ðŸ˜‘","Cokrays",""
"1.6645664091277E+18","1.6645664091277E+18","@aniesbaswedan Saya setuju dengan yang mereka sampaikan https://t.co/r1qFkmjsXg","Zuly_annie",""
"1.6645661822116E+18","1.6645661822116E+18","@JohnAquinoo @Joker_Li55ong Kelakuan Baswedan yg tak menghargai simbol2 negara.. \n@aniesbaswedan","DRadjikin",""
